==85434== NVPROF is profiling process 85434, command: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==85434== Profiling application: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Profiling result:
==85434== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                         flop_count_dp_add                  Floating Point Operations(Double Precision Add)    22539840    22539840    22539840
          1                         flop_count_dp_fma                  Floating Point Operations(Double Precision FMA)     7813404     7813404     7813404
          1                         flop_count_dp_mul                  Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                      Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                  Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                  Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                   Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special              Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                            Instructions Executed   106715764   106715764   106715764
          1                               inst_issued                                              Instructions Issued    17721550    17721550    17721550
          1                          dram_utilization                                        Device Memory Utilization    High (8)    High (8)    High (8)
          1                        sysmem_utilization                                        System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                         Issue Stall Reasons (Instructions Fetch)       2.85%       2.85%       2.85%
          1                     stall_exec_dependency                       Issue Stall Reasons (Execution Dependency)      11.23%      11.23%      11.23%
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)      82.11%      82.11%      82.11%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.68%       0.68%       0.68%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.06%       0.06%       0.06%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       1.32%       1.32%       1.32%
          1                         shared_efficiency                                         Shared Memory Efficiency      72.69%      72.69%      72.69%
          1                                inst_fp_32                                          FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                          FP Instructions(Double)    30353244    30353244    30353244
          1                              inst_integer                                             Integer Instructions   137505640   137505640   137505640
          1                          inst_bit_convert                                         Bit-Convert Instructions           0           0           0
          1                              inst_control                                        Control-Flow Instructions    76241306    76241306    76241306
          1                        inst_compute_ld_st                                          Load/Store Instructions    82889040    82889040    82889040
          1                                 inst_misc                                                Misc Instructions    63650638    63650638    63650638
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots    17721550    17721550    17721550
          1                                 cf_issued                                 Issued Control-Flow Instructions     4845150     4845150     4845150
          1                               cf_executed                               Executed Control-Flow Instructions     4845150     4845150     4845150
          1                               ldst_issued                                   Issued Load/Store Instructions     4172638     4172638     4172638
          1                             ldst_executed                                 Executed Load/Store Instructions     4172638     4172638     4172638
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)     3694175     3694175     3694175
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.15%       0.15%       0.15%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       1.60%       1.60%       1.60%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)      140874      140874      140874
          1                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                            HP Instructions(Half)           0           0           0
          1                                       ipc                                                     Executed IPC    1.145358    1.145358    1.145358
          1                                issued_ipc                                                       Issued IPC    1.153730    1.153730    1.153730
          1                    issue_slot_utilization                                           Issue Slot Utilization      28.84%      28.84%      28.84%
          1                             sm_efficiency                                          Multiprocessor Activity      95.85%      95.85%      95.85%
          1                        achieved_occupancy                                               Achieved Occupancy    0.929556    0.929556    0.929556
          1                  eligible_warps_per_cycle                                  Eligible Warps Per Active Cycle    2.022708    2.022708    2.022708
          1                        shared_utilization                                        Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                                             L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                           tex_utilization                                        Unified Cache Utilization     Low (3)     Low (3)     Low (3)
          1                       ldst_fu_utilization                             Load/Store Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1                         cf_fu_utilization                           Control-Flow Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                        tex_fu_utilization                                Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1             half_precision_fu_utilization                         Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                       Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                       Double-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        flop_hp_efficiency                                       FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                     FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                     FLOP Efficiency(Peak Double)       0.26%       0.26%       0.26%
          1                   sysmem_read_utilization                                   System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                  System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1                            stall_sleeping                                   Issue Stall Reasons (Sleeping)       0.00%       0.00%       0.00%
          1               pcie_total_data_transmitted                                      PCIe Total Data Transmitted           0           0           0
          1                  pcie_total_data_received                                         PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                         Warp level instructions for global loads     1496028     1496028     1496028
          1                 inst_executed_local_loads                          Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                         Warp level instructions for shared loads     1126992     1126992     1126992
          1               inst_executed_surface_loads                        Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                        Warp level instructions for global stores      140874      140874      140874
          1                inst_executed_local_stores                         Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                        Warp level instructions for shared stores      986118      986118      986118
          1              inst_executed_surface_stores                       Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics             Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                    Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics            Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                   Warp level instructions for surface reductions           0           0           0
